Veri Seti,Model,WMSE,SERA,OİHA,Nadir Oranı,Nadir RMSE,Normal RMSE,Sentetik Gözlem
TGSS BMI,EKK,"45,407","13,805","14,050","0,190","8,535","3,290",0
TGSS BMI,RF,"45,524","13,838","14,182","0,190","8,526","3,399",0
TGSS BMI,SMOTE-R + RF,"44,519","13,533","15,002","0,190","8,216","3,960",8424
TGSS BMI,SMOGN + RF,"43,936","13,350","14,822","0,190","8,161","3,956",8424
TGSS BMI,İlgililik Ağırlıklı RF,"45,098","13,711","14,095","0,190","8,458","3,437",0
TGSS gelir,EKK,"9,969 × 10^8","2,683 × 10^8","2,832 × 10^8","0,119","46.059,6","10.744,3",0
TGSS gelir,RF,"9,555 × 10^8","2,571 × 10^8","2,813 × 10^8","0,119","45.178,5","10.720,9",0
TGSS gelir,SMOTE-R + RF,"9,066 × 10^8","2,441 × 10^8","3,120 × 10^8","0,119","42.524,6","14.302,4",15576
TGSS gelir,SMOGN + RF,"9,038 × 10^8","2,434 × 10^8","3,059 × 10^8","0,119","42.598,8","13.823,2",15576
TGSS gelir,İlgililik Ağırlıklı RF,"9,425 × 10^8","2,537 × 10^8","2,778 × 10^8","0,119","44.812,0","10.741,4",0
