protocol,dataset_key,dataset_name,model_key,evaluations,synthetic_total,elapsed_total,group_overlap_total,min_test_n,max_test_n,min_rare_count,max_rare_count,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,wmse_mean,wmse_std,sera_mean,sera_std,oiha_mean,oiha_std,rare_ratio_mean,rare_ratio_std,rare_rmse_mean,rare_rmse_std,rare_mae_mean,rare_mae_std,normal_rmse_mean,normal_rmse_std,normal_mae_mean,normal_mae_std
protocol_sensitivity_grouped10fold,abalone,Abalone,ekk,10,0,0.256735,0,417,418,110,119,2.211894153559015,0.08984163317306247,1.5844088156209717,0.054261917098924,0.5275428987964459,0.04316556510693786,8.768982623878024,0.6340095642604253,3.124740360812095,0.2044787221023975,3.6707936895452704,0.35582836504791776,0.27315869792204517,0.007530821724699157,3.307902912812773,0.1362112731811628,2.531616773685794,0.07848137070621652,1.6162820575120058,0.1352391936879699,1.2290278596338164,0.055955663933001644
protocol_sensitivity_grouped10fold,abalone,Abalone,relevance_weighted_rf,10,0,2.0716930000000002,0,417,418,110,119,2.1455661100886245,0.0894188316693755,1.5221146799535379,0.05043851072079354,0.5559875144485446,0.03520634803635128,8.389369608876544,0.9639145878982118,2.9908973013476277,0.34171116648206973,3.446797991619448,0.3599708074411683,0.27315869792204517,0.007530821724699157,3.2380781888444203,0.2065652653342537,2.383430262101297,0.121739895501575,1.546592976515355,0.06343787429687733,1.1985007853582261,0.04853162037774783
protocol_sensitivity_grouped10fold,abalone,Abalone,rf,10,0,2.220503,0,417,418,110,119,2.1491319929969723,0.08878326332644908,1.5207259902846397,0.049165021366860254,0.5544581853591022,0.03580772559672776,8.350992051040752,0.9692078612811971,2.9767048664491407,0.338728435546469,3.463343246186748,0.3563996851584872,0.27315869792204517,0.007530821724699157,3.2270776721071086,0.20414165990063204,2.369045732735544,0.11226202929455481,1.5623305867423063,0.06028985150054873,1.202031611712902,0.04659152370172642
protocol_sensitivity_grouped10fold,abalone,Abalone,smogn_rf,10,17055,5.308308,0,417,418,110,119,2.179295854463897,0.09190648223208399,1.5743134288579026,0.06521510396392598,0.5418191313068134,0.037669562069793563,7.704773625138411,0.968363742371977,2.7482141762629193,0.34312992232322503,3.4924265074947582,0.3585961156566466,0.27315869792204517,0.007530821724699157,3.0429938415493374,0.21679292360524915,2.192430860783802,0.11548989222850638,1.7467462773485392,0.07582434686572717,1.3422745035094903,0.06154015513779199
protocol_sensitivity_grouped10fold,abalone,Abalone,smote_r_rf,10,17055,5.3907810000000005,0,417,418,110,119,2.200829272579243,0.09747337076157601,1.5944592781820204,0.06801087477567377,0.5326762852022824,0.040137530500567786,7.694764278906431,0.9350778251657091,2.744697969448804,0.32944293824057397,3.562573057649364,0.38290188040176626,0.27315869792204517,0.007530821724699157,3.0235620136872363,0.20425485998071316,2.1690826799959386,0.11977897897004205,1.7962557848831158,0.08681645884185613,1.3786617122580433,0.0663696628085123
protocol_sensitivity_grouped10fold,air_quality_no2,Air Quality NO2,ekk,10,0,0.247084,0,739,1060,121,211,25.071409361669645,5.251453122027523,18.4722789857551,2.6819298066353334,0.7234555077100804,0.11497208386635274,1125.9504531915231,868.7132947906582,335.82778153129004,276.08964986446165,371.8944587376669,275.3781896148677,0.17380812170201196,0.01147006295273081,39.69753871125632,12.541280199648202,29.75783494390175,8.958378451877797,20.375670044654715,1.6530598682567592,16.030279733324857,1.1088534732725444
protocol_sensitivity_grouped10fold,air_quality_no2,Air Quality NO2,relevance_weighted_rf,10,0,3.209093,0,739,1060,121,211,19.716538430562416,6.972896833069962,13.76652893642894,3.479767582723291,0.8199253087878032,0.14460083550253522,789.8035524608182,1014.3690296095931,237.9000101976244,319.2834239962634,258.9990914392698,320.20490071536557,0.17380812170201196,0.01147006295273081,31.36813896795232,15.856318527662319,22.696326999849155,10.732693848795991,15.783088668162776,2.4932948417844183,11.80957346222672,1.6402256069695194
protocol_sensitivity_grouped10fold,air_quality_no2,Air Quality NO2,rf,10,0,3.2046669999999997,0,739,1060,121,211,19.745709723006673,7.2072771469038805,13.759108851438421,3.5370891286958734,0.8184151406309311,0.151424301728045,796.8395003646632,1062.1764240696016,240.2416435215792,334.1410707221538,262.4716673281888,333.86128204114567,0.17380812170201196,0.01147006295273081,31.210909168310344,16.461298947543657,22.501233258706076,11.11807173583745,15.86087067006942,2.507551879437703,11.836460205965603,1.6045912645691063
protocol_sensitivity_grouped10fold,air_quality_no2,Air Quality NO2,smogn_rf,10,45201,11.247764,0,739,1060,121,211,19.759220098169045,7.326595614998079,13.80654539132087,3.6336479505177786,0.8176834602380882,0.1549871013861367,751.295051528956,1086.559269634736,227.02216513163427,341.4215417757545,259.20130165042985,341.6081669330355,0.17380812170201196,0.01147006295273081,28.678816920845094,17.328473088061955,20.028985148341587,11.710041053534045,16.73021839072128,2.480878841509161,12.4061967854857,1.6138372991329717
protocol_sensitivity_grouped10fold,air_quality_no2,Air Quality NO2,smote_r_rf,10,45201,11.316025,0,739,1060,121,211,19.856924660983534,7.288461747291593,13.816803285378587,3.6088305204920146,0.8161811019573483,0.15422124125807887,751.9889119994368,1082.818036890145,227.1819633507968,340.25885692877245,261.7687150248822,340.32663015180475,0.17380812170201196,0.01147006295273081,28.592197154140177,17.33382025498594,19.71469793528781,11.683703959680397,16.887316894824842,2.4625201618124875,12.48522064834994,1.6023895825869847
