protocol,scenario,dataset_key,dataset_name,model_key,evaluations,synthetic_total,elapsed_total,group_overlap_total,overlap_test_rows_total,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,wmse_mean,wmse_std,sera_mean,sera_std,oiha_mean,oiha_std,rare_ratio_mean,rare_ratio_std,rare_rmse_mean,rare_rmse_std,rare_mae_mean,rare_mae_std,normal_rmse_mean,normal_rmse_std,normal_mae_mean,normal_mae_std,rmse_rank,mae_rank,wmse_rank,sera_rank,oiha_rank,rare_rmse_rank,normal_rmse_rank,r2_rank
main_grouped_repeated5fold,main,abalone,Abalone,ekk,10,0,0.34693999999999997,0,0,2.2153842074874737,0.06737895188863402,1.584386627765522,0.04151099521986111,0.5267656105056157,0.027060002302542546,8.781295670720834,0.6286996918945931,3.131418095841508,0.2357839480741481,3.684389561055114,0.2833406702778161,0.2731650574449188,0.00933306923095172,3.309307733789671,0.15773977829497374,2.5321591699908503,0.1796253314450712,1.6208607982045315,0.10703533221479035,1.2283485620552805,0.04649000870327804,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0
main_grouped_repeated5fold,main,abalone,Abalone,relevance_weighted_rf,10,0,2.333856,0,0,2.1499772009354268,0.07451101971055088,1.5188669490397624,0.04478122727766843,0.5546121223639391,0.02160826367537559,8.46720518792468,0.8527205493411716,3.020261626481053,0.31756948973945526,3.4776969773327138,0.2969587255575711,0.2731650574449188,0.00933306923095172,3.2548902204766335,0.193995142136684,2.402669505474267,0.1801130031119907,1.540174534225632,0.047903810418278084,1.1870289032694779,0.03341519078793587,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0
main_grouped_repeated5fold,main,abalone,Abalone,rf,10,0,2.346604,0,0,2.155385529857676,0.06941584729759703,1.5269923358065287,0.04183876268961165,0.5523093829165797,0.021579910572354238,8.426415673126723,0.826909618150143,3.005768597083938,0.30765524984783266,3.485945088099151,0.2873957072060403,0.2731650574449188,0.00933306923095172,3.23981986994328,0.1891370018444831,2.384758379472215,0.1780043828686133,1.561559012868095,0.058250346474760004,1.2047240709080342,0.043282749062536575,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
main_grouped_repeated5fold,main,abalone,Abalone,smogn_rf,10,15160,6.430068,0,0,2.188815042657232,0.05590014159494323,1.578114266550992,0.035306006848794126,0.5381469066176132,0.02203413186604571,7.820405145948664,0.674137509699834,2.790577857789404,0.25065913243538535,3.530828337828227,0.2216099780817165,0.2731650574449188,0.00933306923095172,3.0645965702875237,0.1699384604172611,2.206495252925955,0.15545401419741878,1.7479661863548812,0.051580022783538515,1.342123201098818,0.03490070252085546,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0
main_grouped_repeated5fold,main,abalone,Abalone,smote_r_rf,10,15160,6.422296,0,0,2.20567523065735,0.06330668492368997,1.5946629885317192,0.03519991556914994,0.5310462312174983,0.023191515944352554,7.794232434553287,0.7324154283145261,2.7816091359946205,0.2729800969455913,3.5926287353752224,0.2728920619869185,0.2731650574449188,0.00933306923095172,3.0472600139695363,0.17507728326511712,2.1856931091187084,0.15720917575147553,1.7877159160289064,0.06042368618352183,1.372856257924297,0.03773429639672356,4.0,5.0,1.0,1.0,4.0,1.0,5.0,4.0
main_grouped_repeated5fold,main,air_quality_no2,Air Quality NO2,ekk,10,0,0.299608,0,0,25.55199175167163,4.6876286775187355,18.644257747827375,2.1665235584194695,0.7157598931479092,0.08814916583491614,1173.2329472134547,738.211902332902,351.2281069491807,235.8795599902812,387.8065187874128,232.7136086639626,0.1749336605104306,0.01065723610143925,40.66959983012887,12.435138120274004,30.161282680784627,8.319093476279187,20.55111801927331,0.9413688235185602,16.122662770921366,0.6408699607052796,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
main_grouped_repeated5fold,main,air_quality_no2,Air Quality NO2,relevance_weighted_rf,10,0,3.386787,0,0,20.755213799243084,6.611728275425016,14.157498153145792,2.8325790449782975,0.8049023380145567,0.11979161491757097,881.9890408573744,881.3021939043501,266.5179773948316,277.30957686358994,288.3294370164943,275.0533119303056,0.1749336605104306,0.01065723610143925,33.75974576344911,16.261298743843067,23.848844393268642,9.867354650320033,16.142019599804048,1.8908316104720861,12.01188125192235,1.1243789334465677,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
main_grouped_repeated5fold,main,air_quality_no2,Air Quality NO2,rf,10,0,3.41295,0,0,20.519469682394796,6.30071059592919,14.027200537122507,2.717066106675463,0.8101991796620173,0.11154790652926076,849.6993048451144,829.6478230767805,256.6200834410729,261.21929180795354,278.9784447775967,258.77017026753384,0.1749336605104306,0.01065723610143925,33.184644030727064,15.591097093730472,23.41545351147816,9.40931213586591,16.05791416054131,1.7633413461409038,11.949656946701776,1.0861746060898372,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0
main_grouped_repeated5fold,main,air_quality_no2,Air Quality NO2,smogn_rf,10,40108,14.018429000000001,0,0,20.624285094023083,6.429433216870892,14.083801558799848,2.7665485053840393,0.8078404234557104,0.11507750126788384,813.7688146508048,857.7334259970821,246.2415349868908,269.533260724587,278.9487277092975,265.8079143673969,0.1749336605104306,0.01065723610143925,30.977848495417145,16.783361171666986,20.94418835859917,10.001056075220767,16.94963251442863,1.6761796148870336,12.535643901999716,1.057393582807749,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
main_grouped_repeated5fold,main,air_quality_no2,Air Quality NO2,smote_r_rf,10,40108,14.074932,0,0,20.694132244738327,6.512324498547225,14.126198202413486,2.7762049960434534,0.8063031165001643,0.11734524800237736,812.7540951642574,872.5146443129503,246.0375181115584,274.07319093065587,280.2585180642904,270.5956336883136,0.1749336605104306,0.01065723610143925,30.60528026001246,17.12450947256338,20.528319638270993,10.183052501935961,17.155932563579427,1.6970087655009034,12.674093466477746,1.0352008018813907,3.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0
