comparison,main_dataset_key,sensitivity_dataset_key,model_key,main_rmse,sensitivity_rmse,delta_rmse,relative_delta_rmse_pct,main_mae,sensitivity_mae,delta_mae,relative_delta_mae_pct,main_r2,sensitivity_r2,delta_r2,relative_delta_r2_pct,main_wmse,sensitivity_wmse,delta_wmse,relative_delta_wmse_pct,main_sera,sensitivity_sera,delta_sera,relative_delta_sera_pct,main_oiha,sensitivity_oiha,delta_oiha,relative_delta_oiha_pct,main_rare_rmse,sensitivity_rare_rmse,delta_rare_rmse,relative_delta_rare_rmse_pct,main_normal_rmse,sensitivity_normal_rmse,delta_normal_rmse,relative_delta_normal_rmse_pct
bmi_schema,tgss_bmi,tgss_bmi_workstat_sensitivity,ekk,4.750961928304378,4.765642127032773,0.014680198728395766,0.3089942405334143,3.65413061265629,3.676370740083059,0.022240127426769174,0.6086297887037542,0.09878163563043316,0.09306621441106283,-0.005715421219370326,-5.785914743053201,45.40685228815766,45.73029488667969,0.3234425985220284,0.7123211194412257,13.804644348423873,13.905172442238191,0.10052809381431871,0.7282193678955327,14.050318696766187,14.126271433837477,0.07595273707129024,0.5405766140291998,8.534802089335239,8.611645192593667,0.0768431032584278,0.9003501481826742,3.289541152118013,3.2691773204253716,-0.020363831692641554,-0.6190477866352285
bmi_schema,tgss_bmi,tgss_bmi_workstat_sensitivity,relevance_weighted_rf,4.80974548107624,4.8245004639066575,0.014754982830417873,0.3067726325326525,3.7282973949770337,3.726559048340289,-0.0017383466367446587,-0.046625750378353786,0.07568226747444823,0.06963189910781462,-0.006050368366633613,-7.994433264933997,45.09804102919985,45.323836472868166,0.22579544366831783,0.5006768332179239,13.711318836772824,13.772078490282487,0.06075965350966328,0.44313500570572417,14.094911586245857,14.187346829159441,0.0924352429135844,0.6558057661304159,8.457563096459124,8.476376784528718,0.018813688069593937,0.2224480959234055,3.436750930887026,3.4559781894041066,0.019227258517080514,0.5594603421586316
bmi_schema,tgss_bmi,tgss_bmi_workstat_sensitivity,rf,4.8104578680884424,4.811727815704435,0.0012699476159925283,0.026399724325975114,3.713749953436765,3.7109433341536167,-0.002806619283148404,-0.0755737278583097,0.07541233991412832,0.0747582871711329,-0.0006540527429954174,-0.8673020141533656,45.52375585188079,45.61989139751365,0.09613554563285476,0.2111766567452122,13.838430460046784,13.862922726604229,0.024492266557444964,0.17698731534733717,14.18195179309381,14.193553733420709,0.011601940326897875,0.0818077828507898,8.52594550319754,8.523653577438989,-0.0022919257585520825,-0.02688177818744592,3.399151673230442,3.406373657197397,0.007221983966954948,0.2124643046625634
bmi_schema,tgss_bmi,tgss_bmi_workstat_sensitivity,smogn_rf,5.029209718954705,5.025737719653894,-0.0034719993008112127,-0.06903667762601973,3.9384245983704114,3.9366219019762925,-0.0018026963941188967,-0.045772017442324335,-0.01203199905928425,-0.010563454926514315,0.0014685441327699344,12.205321206676475,43.93634226717162,43.95749941108714,0.02115714391552359,0.0481540857153505,13.350272528361135,13.35870860196945,0.008436073608315553,0.0631902726359636,14.821796099342867,14.791672556827029,-0.030123542515838153,-0.20323813871096025,8.160868740493772,8.135493589797118,-0.025375150696653748,-0.3109368806625167,3.9557202234990876,3.959551385741226,0.0038311622421383085,0.09685119335232967
bmi_schema,tgss_bmi,tgss_bmi_workstat_sensitivity,smote_r_rf,5.052545163841298,5.041197816749951,-0.011347347091347437,-0.22458675228783886,3.9464196453280196,3.9285500616165954,-0.01786958371142422,-0.452804955311308,-0.021849826024063677,-0.016276940510675762,0.005572885513387915,25.505399938884537,44.51862868829509,44.515186453968376,-0.0034422343267124234,-0.00773212119989999,13.533263073232826,13.527806709472639,-0.0054563637601869885,-0.04031816813624958,15.002493336896885,14.932253471876924,-0.07023986501996049,-0.4681879434481315,8.216054035636695,8.204994974551807,-0.011059061084887745,-0.13460307146130807,3.9603089893850374,3.952951136073208,-0.0073578533118294764,-0.18578987981874653
air_quality_scope,air_quality_no2,air_quality_no2_extended,ekk,25.55199175167163,22.903708410541185,-2.648283341130444,-10.364293190401455,18.644257747827375,16.975816283593748,-1.6684414642336272,-8.94882213494421,0.7157598931479092,0.7740300962506246,0.05827020310271536,8.141026573372704,1173.2329472134547,849.5826763310964,-323.6502708823583,-27.58619007853981,351.2281069491807,251.9179315161557,-99.310175433025,-28.275121913120188,387.8065187874128,284.31201448461894,-103.49450430279387,-26.687149206877393,40.66959983012887,35.437219708125134,-5.2323801220037325,-12.865580541383833,20.55111801927331,19.086388332512758,-1.4647296867605526,-7.127250621532586
air_quality_scope,air_quality_no2,air_quality_no2_extended,relevance_weighted_rf,20.755213799243084,17.057627683558813,-3.6975861156842704,-17.81521574024507,14.157498153145792,11.570095584587047,-2.587402568558744,-18.275846061006366,0.8049023380145567,0.8725716556160943,0.0676693176015376,8.407146358706912,881.9890408573744,552.9765612867086,-329.01247957066585,-37.30346572683437,266.5179773948316,166.00624132271201,-100.51173607211956,-37.712929181965464,288.3294370164943,181.05835184140648,-107.27108517508782,-37.204347320579416,33.75974576344911,27.60174198649483,-6.158003776954281,-18.240669879751902,16.142019599804048,13.384975583703127,-2.75704401610092,-17.079919888923868
air_quality_scope,air_quality_no2,air_quality_no2_extended,rf,20.519469682394796,16.913617072014237,-3.605852610380559,-17.572835293469076,14.027200537122507,11.457376400255416,-2.5698241368670907,-18.320292278321244,0.8101991796620173,0.8746512453563584,0.06445206569434114,7.955088984566483,849.6993048451144,541.9639313874964,-307.73537345761804,-36.216973663843696,256.6200834410729,162.70505726680534,-93.91502617426755,-36.596912024554406,278.9784447775967,177.77406953403755,-101.20437524355913,-36.276772323481794,33.184644030727064,27.30333333051961,-5.881310700207454,-17.72298866536492,16.05791416054131,13.307293253378939,-2.7506209071623697,-17.12937857098152
air_quality_scope,air_quality_no2,air_quality_no2_extended,smogn_rf,20.624285094023083,16.78725908382237,-3.837026010200713,-18.604407341676456,14.083801558799848,11.381025232544205,-2.702776326255643,-19.190673164284206,0.8078404234557104,0.8768976496453558,0.06905722618964538,8.548374677048013,813.7688146508048,485.6645996869264,-328.10421496387835,-40.319094201793746,246.2415349868908,145.88653017430198,-100.35500481258882,-40.754702417661356,278.9487277092975,169.37067696985918,-109.57805073943831,-39.28250601437894,30.977848495417145,24.682394891387343,-6.295453604029802,-20.32243654675098,16.94963251442863,14.103589956387538,-2.8460425580410913,-16.79117559403341
air_quality_scope,air_quality_no2,air_quality_no2_extended,smote_r_rf,20.694132244738327,16.88186305893432,-3.8122691858040056,-18.421981365144266,14.126198202413486,11.411530940872764,-2.714667261540722,-19.217253096993332,0.8063031165001643,0.8754623989357617,0.06915928243559744,8.57733041337976,812.7540951642574,484.93220499177477,-327.8218901724826,-40.33469558910434,246.0375181115584,145.72172808251383,-100.31579002904456,-40.7725581037439,280.2585180642904,171.11854562473928,-109.13997243955112,-38.94260670232858,30.60528026001246,24.401760591331474,-6.203519668680986,-20.269442449073853,17.155932563579427,14.313645407755024,-2.842287155824403,-16.567371929744787
duplicate_split_policy_wine,wine_quality_red,wine_quality_red_standard_kfold,ekk,0.6521220229315077,0.6528115247981148,0.0006895018666071007,0.10573203209846495,0.505210829032855,0.5060318571623333,0.0008210281294783739,0.1625119815919426,0.3459043630619913,0.34188855295292586,-0.004015810109065432,-1.1609596576108345,0.7324597855932622,0.7345088396634566,0.0020490540701944004,0.2797497023723632,0.2190886128201126,0.22015319039863918,0.001064577578526571,0.48591187137629344,0.2515657678207556,0.252401311750239,0.0008355439294833733,0.3321373717582715,1.1115835254853954,1.1187645020551296,0.007180976569734154,0.6460132239364051,0.5017742097628023,0.5010328419875416,-0.0007413677752606818,-0.14774927862696244
duplicate_split_policy_wine,wine_quality_red,wine_quality_red_standard_kfold,relevance_weighted_rf,0.6341028715569802,0.5785633208441427,-0.05553955071283745,-8.758760321722765,0.49575892423872714,0.4233537471073724,-0.07240517713135475,-14.604916541348805,0.38192515783210595,0.48303510582353165,0.1011099479914257,26.473759562043192,0.7002433372776147,0.6138140790198724,-0.08642925825774228,-12.342746250718985,0.20954470236462833,0.18365721477381647,-0.02588748759081186,-12.354159899382754,0.23618449394908508,0.20296906582732407,-0.03321542812176101,-14.063339877393199,1.0977282150632088,1.035391834033051,-0.06233638103015782,-5.678671657953913,0.480043235532869,0.4221627854321762,-0.05788045010069276,-12.057341051049896
duplicate_split_policy_wine,wine_quality_red,wine_quality_red_standard_kfold,rf,0.6317195249191254,0.5746776557919545,-0.05704186912717091,-9.029619455639521,0.48693584171380017,0.41573626227542304,-0.07119957943837713,-14.621963170298965,0.3863940590442791,0.4901459688720558,0.10375190982777671,26.851321183457223,0.6963822443557834,0.5992796259064234,-0.09710261844936008,-13.94386764401048,0.2083236912507219,0.17946368039786942,-0.028860010852852475,-13.85344637452629,0.23538088962279416,0.19965646647814894,-0.03572442314464522,-15.177282744531562,1.0983119312042342,1.0197843557381627,-0.07852757546607148,-7.149842702698369,0.4760876870448203,0.4238523814843716,-0.0522353055604487,-10.971782506009468
duplicate_split_policy_wine,wine_quality_red,wine_quality_red_standard_kfold,smogn_rf,0.6383078639286548,0.577809309283645,-0.06049855464500975,-9.477958531272586,0.4916762613129265,0.41503119492492785,-0.07664506638799867,-15.588522859194548,0.37270203987651157,0.4835709940498347,0.11086895417332315,29.74734300087482,0.6383973971657653,0.5451311467301988,-0.09326625043556647,-14.609434632664877,0.19120700021209067,0.16338069742351588,-0.027826302788574786,-14.55297282929458,0.23287770422690782,0.1954015124568616,-0.03747619177004621,-16.092649098571812,1.023130339487039,0.9413897322953634,-0.08174060719167564,-7.989266277907217,0.5203159177566145,0.4653032888878717,-0.05501262886874275,-10.57292829055361
duplicate_split_policy_wine,wine_quality_red,wine_quality_red_standard_kfold,smote_r_rf,0.6431485828640213,0.5794530769404632,-0.0636955059235581,-9.903699956845745,0.4947766466630827,0.4196372272048106,-0.07513941945827207,-15.186533148852947,0.3631812794386335,0.4804266500168091,0.11724537057817563,32.28287833541445,0.6275645620073689,0.5198906509905268,-0.1076739110168421,-17.157423719470284,0.18798480851464378,0.15600268017222466,-0.03198212834241912,-17.013145155252136,0.23497833044183417,0.19366721705869494,-0.041311113383139225,-17.58081832714581,1.0074745887523364,0.9106593450451316,-0.09681524370720485,-9.609695846234843,0.53363332309006,0.48037897805008206,-0.05325434503997789,-9.979576374954059
duplicate_split_policy_concrete,concrete,concrete_standard_kfold,ekk,10.447125053289158,10.489918356736478,0.04279330344732024,0.4096179880018499,8.294542586906598,8.331339759103306,0.036797172196708416,0.4436311202355489,0.6071166114389142,0.6004291165238487,-0.006687494915065484,-1.10151736734984,139.5521362760391,140.64359958251555,1.0914633064764416,0.7821186658995233,41.98659198571575,42.50842906567205,0.521837079956299,1.2428660085911072,53.5522106930523,53.981638746171974,0.4294280531196719,0.8018866962954054,13.177899503873103,13.176432601419313,-0.0014669024537905528,-0.011131534683197553,9.736945194474421,9.768294556900406,0.03134936242598485,0.32196301611901
duplicate_split_policy_concrete,concrete,concrete_standard_kfold,relevance_weighted_rf,5.194822490939576,5.308105077110856,0.1132825861712794,2.1806825232018703,3.8007459315692613,3.7726077968094947,-0.028138134759766675,-0.740331905009734,0.9020168846190406,0.8974628996753404,-0.0045539849437001845,-0.5048669289182456,42.58696588271091,43.26133929312116,0.6743734104102472,1.5835206768839654,12.795538079642185,13.126463262717873,0.3309251830756885,2.5862545288516894,13.159570169735385,13.780783345920835,0.6212131761854494,4.720619048896647,7.540231204200806,7.659042270915412,0.11881106671460628,1.5756952737525394,4.4736419021512095,4.617035029980362,0.14339312782915226,3.205288464420896
duplicate_split_policy_concrete,concrete,concrete_standard_kfold,rf,5.166341493462227,5.314070664664307,0.14772917120208007,2.8594542460854493,3.736733005123143,3.738772902703153,0.0020398975800102193,0.054590402290275356,0.9033440534184203,0.897451952943799,-0.005892100474621298,-0.652254304694264,43.046842497003624,43.53721847981414,0.4903759828105194,1.1391682975229906,12.931945564133505,13.231592990328867,0.2996474261953619,2.317110172706171,13.310204620192684,13.955912991204343,0.6457083710116596,4.851227982115815,7.699215356124695,7.6808639993273875,-0.01835135679730726,-0.23835359771705605,4.367703048780884,4.603311713584526,0.2356086648036424,5.394337988920873
duplicate_split_policy_concrete,concrete,concrete_standard_kfold,smogn_rf,4.972514134788659,5.112034822568079,0.13952068777942017,2.805837932230434,3.625536363481865,3.5983255743209015,-0.027210789160963422,-0.7505314092293625,0.9104013195531758,0.904919328220504,-0.005481991332671798,-0.6021510750184715,35.301850524262804,36.75243491044183,1.450584386179024,4.109088800265708,10.605774200371687,11.150973515353538,0.5451993149818506,5.140589500413309,11.187508688015509,12.086354210917724,0.8988455229022154,8.034367149722025,6.450437784889876,6.704114355515033,0.25367657062515736,3.9327031603869385,4.541177774893898,4.666350777989928,0.1251730030960303,2.756399535557819
duplicate_split_policy_concrete,concrete,concrete_standard_kfold,smote_r_rf,4.964489846704539,5.083273729254884,0.11878388255034533,2.392670470042251,3.633875966882724,3.581069915943362,-0.05280605093936197,-1.4531605211792904,0.9108240105468338,0.905913307429277,-0.004910703117556814,-0.5391495020655594,34.91744145246702,36.14666535545918,1.2292239029921603,3.5203722032884293,10.502418752145283,10.96477498199209,0.46235622984680624,4.402378544964823,11.076159320775284,11.930128504385078,0.8539691836097933,7.709975623120768,6.456703940145391,6.588114217363865,0.13141027721847376,2.0352532567183914,4.52867770696546,4.672000647233499,0.14332294026803982,3.164785607233607
duplicate_split_policy_income,tgss_income,tgss_income_standard_kfold,ekk,18811.89325427042,18834.269985826,22.376731555577862,0.11894991776278659,11115.194805481737,11095.059257077548,-20.13554840418874,-0.1811533558931274,0.3386831499460642,0.33513974162288274,-0.0035434083231814517,-1.0462310639740255,996852893.9616878,992388795.640249,-4464098.321438789,-0.44781916654699094,268256428.7795754,268716771.8196136,460343.04003816843,0.1716055947410041,283156734.48838437,283334478.6290835,177744.14069914818,0.06277235151065763,46059.55395973727,46022.53001258025,-37.023947157016664,-0.08038277398296337,10744.322461163401,10726.657713211785,-17.664747951615936,-0.16441006881045517
