metric,median_std_ratio_10fold_to_5fold_2repeat,mean_std_ratio_10fold_to_5fold_2repeat,comparisons_with_higher_10fold_std,comparisons,higher_10fold_std_ratio
rmse,1.226876327987176,1.2617418474984052,35,40,0.875
mae,1.3008597954945271,1.356027427071044,37,40,0.925
r2,1.3793915322545367,1.444421881292501,39,40,0.975
wmse,1.2532929052932933,1.2613638255052064,33,40,0.825
sera,1.224614816490534,1.2662590946666668,33,40,0.825
oiha,1.222145976732346,1.2619927814296827,34,40,0.85
rare_rmse,1.1385365873659894,1.3122474031440992,31,40,0.775
normal_rmse,1.3630640517023624,1.3715946111536725,34,40,0.85
