dataset_key,model_key,train_n,test_n,model_feature_count,fit_index_hash,test_index_hash,relevance_train_hash,resampling_method,synthetic_n,resampled_train_n,final_rare_ratio_train,invalid_nominal_total,invalid_binary_total,invalid_onehot_group_total,ordinal_noninteger_total,out_of_bounds_total,sample_weight_min,sample_weight_mean,sample_weight_max,n,rmse,mae,r2,wmse,sera,oiha,rare_count,normal_count,rare_ratio,rare_rmse,rare_mae,normal_rmse,normal_mae,protocol,scenario,dataset_name,repeat,fold,split_seed,model_seed,rf_n_estimators,train_index_sha256,test_index_sha256,actual_group_overlap_n,overlap_test_rows_n,test_group_n,elapsed_seconds,task_id
abalone,ekk,3759,418,10,e7eb44041b7292fafd7c9a6d36be962ed5bc19d6c7fd25d21cb42b80cad08451,3e4e259fbf6b12a8e41e7d9ff2dcb4cbe84955628b3241ae77ef61e796237719,0c4f70a1050909b11ad4339f7b25e56c34d8d62a7dd2e47ef0e223703397939c,none,0,3759,0.27214684756584195,0,0,0,0,0,,,,418,2.3068518774668103,1.6648030866816061,0.49403669426896435,9.145730473823361,3.2916808438640937,3.9148690635347845,118,300,0.2822966507177033,3.386810839713754,2.5352775987923053,1.7038161774859528,1.322416445251398,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,3,42,70100301,100,5a8ef9467f47f409fd6a15c4e1585a2213fb51336f3135586ad363e15a7e433b,4a850eb3e316fd643adc4b298ce1d9ee75182014599883e65dbe1a0793447912,0,0,418,0.029513,protocol_sensitivity_grouped10fold|abalone|r1|f3|ekk
abalone,rf,3759,418,10,e7eb44041b7292fafd7c9a6d36be962ed5bc19d6c7fd25d21cb42b80cad08451,3e4e259fbf6b12a8e41e7d9ff2dcb4cbe84955628b3241ae77ef61e796237719,0c4f70a1050909b11ad4339f7b25e56c34d8d62a7dd2e47ef0e223703397939c,none,0,3759,0.27214684756584195,0,0,0,0,0,,,,418,2.1203408043990017,1.5174021080623805,0.5725444652970331,7.694195288668756,2.7700500609066285,3.3008348669972456,118,300,0.2822966507177033,3.0566524115704183,2.2736642488937995,1.609114285472352,1.2199389993353562,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,3,42,70100302,100,5a8ef9467f47f409fd6a15c4e1585a2213fb51336f3135586ad363e15a7e433b,4a850eb3e316fd643adc4b298ce1d9ee75182014599883e65dbe1a0793447912,0,0,418,0.209093,protocol_sensitivity_grouped10fold|abalone|r1|f3|rf
abalone,smote_r_rf,3759,418,10,e7eb44041b7292fafd7c9a6d36be962ed5bc19d6c7fd25d21cb42b80cad08451,3e4e259fbf6b12a8e41e7d9ff2dcb4cbe84955628b3241ae77ef61e796237719,0c4f70a1050909b11ad4339f7b25e56c34d8d62a7dd2e47ef0e223703397939c,smote_r,1713,5472,0.5,0,0,0,0,0,,,,418,2.2174908159079876,1.6168458721689125,0.532476697425411,7.116516392182149,2.5640524241933225,3.5832333569186514,118,300,0.2822966507177033,2.852331088750239,2.0632250580988414,1.9108405264765287,1.4412700590364738,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,3,42,70100303,100,5a8ef9467f47f409fd6a15c4e1585a2213fb51336f3135586ad363e15a7e433b,4a850eb3e316fd643adc4b298ce1d9ee75182014599883e65dbe1a0793447912,0,0,418,0.521389,protocol_sensitivity_grouped10fold|abalone|r1|f3|smote_r_rf
abalone,smogn_rf,3759,418,10,e7eb44041b7292fafd7c9a6d36be962ed5bc19d6c7fd25d21cb42b80cad08451,3e4e259fbf6b12a8e41e7d9ff2dcb4cbe84955628b3241ae77ef61e796237719,0c4f70a1050909b11ad4339f7b25e56c34d8d62a7dd2e47ef0e223703397939c,smogn,1713,5472,0.5,0,0,0,0,0,,,,418,2.1722274892913407,1.5760977494407375,0.5513680356454729,7.236833156600242,2.606613824725897,3.3977042100493993,118,300,0.2822966507177033,2.922223301396058,2.140487034555481,1.793242223950028,1.3541046306289386,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,3,42,70100304,100,5a8ef9467f47f409fd6a15c4e1585a2213fb51336f3135586ad363e15a7e433b,4a850eb3e316fd643adc4b298ce1d9ee75182014599883e65dbe1a0793447912,0,0,418,0.515576,protocol_sensitivity_grouped10fold|abalone|r1|f3|smogn_rf
abalone,relevance_weighted_rf,3759,418,10,e7eb44041b7292fafd7c9a6d36be962ed5bc19d6c7fd25d21cb42b80cad08451,3e4e259fbf6b12a8e41e7d9ff2dcb4cbe84955628b3241ae77ef61e796237719,0c4f70a1050909b11ad4339f7b25e56c34d8d62a7dd2e47ef0e223703397939c,none,0,3759,0.27214684756584195,0,0,0,0,0,0.13733036396556225,1.0000000000000002,2.746607279311245,418,2.1540172366067964,1.5314121413708182,0.558858464052858,8.118054141971816,2.922455006484968,3.4513807489406165,118,300,0.2822966507177033,3.1375396715302966,2.3054309569431215,1.610198760371047,1.2269647405790458,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,3,42,70100305,100,5a8ef9467f47f409fd6a15c4e1585a2213fb51336f3135586ad363e15a7e433b,4a850eb3e316fd643adc4b298ce1d9ee75182014599883e65dbe1a0793447912,0,0,418,0.183023,protocol_sensitivity_grouped10fold|abalone|r1|f3|relevance_weighted_rf
abalone,ekk,3759,418,10,f899fb0fdfc0a9dfeb34033f37f00c4867232d51b6065c2146ddf73c923270d2,c13460ffb9dc45d56331917d36c11ae06db14fef7cb977f6fe3bc00051d710c1,d8778fdc7956f86e0569c6a32c3c7f8f65059b6f2dc5216799bb751be9dafd63,none,0,3759,0.27347698856078745,0,0,0,0,0,,,,418,2.1310883193269183,1.5641748725757396,0.5915181661426441,8.162175323473473,2.9618689614706653,3.3035331598369306,113,305,0.2703349282296651,3.219609778453367,2.5241539275261085,1.5439117854393236,1.2085105013974067,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,4,42,70100401,100,d26f28c19b3befafa106f113c94459fb96861adb63c220ab99b9c3b783000416,058f4686b9b9b3208682331dd4982966998710cd98f4954fe6728490a46a12d9,0,0,418,0.022492,protocol_sensitivity_grouped10fold|abalone|r1|f4|ekk
abalone,rf,3759,418,10,f899fb0fdfc0a9dfeb34033f37f00c4867232d51b6065c2146ddf73c923270d2,c13460ffb9dc45d56331917d36c11ae06db14fef7cb977f6fe3bc00051d710c1,d8778fdc7956f86e0569c6a32c3c7f8f65059b6f2dc5216799bb751be9dafd63,none,0,3759,0.27347698856078745,0,0,0,0,0,,,,418,2.1519306787854506,1.5022009308645503,0.5834890686314385,8.442568313243015,3.0638668335473263,3.4499679781054438,113,305,0.2703349282296651,3.2836237215752355,2.4044686607558248,1.5335482096788602,1.1679181325769634,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,4,42,70100402,100,d26f28c19b3befafa106f113c94459fb96861adb63c220ab99b9c3b783000416,058f4686b9b9b3208682331dd4982966998710cd98f4954fe6728490a46a12d9,0,0,418,0.213351,protocol_sensitivity_grouped10fold|abalone|r1|f4|rf
abalone,smote_r_rf,3759,418,10,f899fb0fdfc0a9dfeb34033f37f00c4867232d51b6065c2146ddf73c923270d2,c13460ffb9dc45d56331917d36c11ae06db14fef7cb977f6fe3bc00051d710c1,d8778fdc7956f86e0569c6a32c3c7f8f65059b6f2dc5216799bb751be9dafd63,smote_r,1703,5462,0.5,0,0,0,0,0,,,,418,2.1622436801338245,1.5463392201789559,0.579487294083818,7.762746274147399,2.8186214993308374,3.4363368913622,113,305,0.2703349282296651,3.0961319020814138,2.218856645281735,1.6899439808037606,1.297177026616287,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,4,42,70100403,100,d26f28c19b3befafa106f113c94459fb96861adb63c220ab99b9c3b783000416,058f4686b9b9b3208682331dd4982966998710cd98f4954fe6728490a46a12d9,0,0,418,0.581506,protocol_sensitivity_grouped10fold|abalone|r1|f4|smote_r_rf
abalone,smogn_rf,3759,418,10,f899fb0fdfc0a9dfeb34033f37f00c4867232d51b6065c2146ddf73c923270d2,c13460ffb9dc45d56331917d36c11ae06db14fef7cb977f6fe3bc00051d710c1,d8778fdc7956f86e0569c6a32c3c7f8f65059b6f2dc5216799bb751be9dafd63,smogn,1703,5462,0.5,0,0,0,0,0,,,,418,2.165439491778718,1.5393681846949763,0.5782433338896553,7.881027185648618,2.8611977666524115,3.422673591912867,113,305,0.2703349282296651,3.130640175586924,2.261445961191894,1.6719018235070173,1.2718442871731674,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,4,42,70100404,100,d26f28c19b3befafa106f113c94459fb96861adb63c220ab99b9c3b783000416,058f4686b9b9b3208682331dd4982966998710cd98f4954fe6728490a46a12d9,0,0,418,0.593175,protocol_sensitivity_grouped10fold|abalone|r1|f4|smogn_rf
abalone,relevance_weighted_rf,3759,418,10,f899fb0fdfc0a9dfeb34033f37f00c4867232d51b6065c2146ddf73c923270d2,c13460ffb9dc45d56331917d36c11ae06db14fef7cb977f6fe3bc00051d710c1,d8778fdc7956f86e0569c6a32c3c7f8f65059b6f2dc5216799bb751be9dafd63,none,0,3759,0.27347698856078745,0,0,0,0,0,0.1374574902015538,1.0,2.749149804031076,418,2.1463693706437383,1.4922407035090044,0.5856390937701366,8.688942512945292,3.152953485136378,3.4632833856633085,113,305,0.2703349282296651,3.3460940903608973,2.466240062909878,1.4715863603768358,1.1313819244522871,protocol_sensitivity_grouped10fold,main_10fold,Abalone,1,4,42,70100405,100,d26f28c19b3befafa106f113c94459fb96861adb63c220ab99b9c3b783000416,058f4686b9b9b3208682331dd4982966998710cd98f4954fe6728490a46a12d9,0,0,418,0.249425,protocol_sensitivity_grouped10fold|abalone|r1|f4|relevance_weighted_rf
